2
1 0 8
  3.37005012218500e+02 9.39470268862236e-04
  5.33105310515000e+01 7.04693721807824e-03
  1.22082534814000e+01 3.60744515458707e-02
  3.41882690980000e+00 1.48119406547685e-01
  1.10879012580000e+00 4.08977753987667e-01
  4.78717798300000e-01 5.05078531257800e-01
  2.12137087700000e-01 6.51872172630449e-01
  6.90581086000000e-02 2.87440391386348e-01
2 0 8
  3.37005012218500e+02 9.39470268862236e-04
  5.33105310515000e+01 7.04693721807824e-03
  1.22082534814000e+01 3.60744515458707e-02
  3.41882690980000e+00 1.48119406547685e-01
  1.10879012580000e+00 4.08977753987667e-01
  4.78717798300000e-01 5.05078531257800e-01
  2.12137087700000e-01 6.51872172630449e-01
  6.90581086000000e-02 2.87440391386348e-01
