5
1 0 6
  2.69507309610000e+00 -6.29635017335586e-01
  2.24947021280000e+00 5.95148129407341e-01
  6.11851695800000e-01 3.97714973460840e-01
  3.03726665600000e-01 2.56943530862018e-01
  1.71628270400000e-01 1.37135951947705e-01
  7.15491343000000e-02 8.97788740522572e-02
1 1 6
  2.75476401720000e+01 1.63673113844474e-02
  7.12656627820000e+00 1.14119610883097e-01
  2.35805520400000e+00 3.42181878337299e-01
  8.45047262300000e-01 6.50607387015303e-01
  3.01063057900000e-01 6.16103823680243e-01
  9.45745258000000e-02 2.84272525426711e-01
2 0 8
  3.37005012218500e+02 1.07516926984929e-03
  5.33105310515000e+01 7.34146240566090e-03
  1.22082534814000e+01 4.02336267680429e-02
  3.41882690980000e+00 1.58881988320257e-01
  1.10879012580000e+00 4.59592903655805e-01
  4.78717798300000e-01 5.05152278260227e-01
  2.12137087700000e-01 6.51912852532265e-01
  6.90581086000000e-02 6.42459440340795e-02
3 0 8
  3.37005012218500e+02 1.07516926984929e-03
  5.33105310515000e+01 7.34146240566090e-03
  1.22082534814000e+01 4.02336267680429e-02
  3.41882690980000e+00 1.58881988320257e-01
  1.10879012580000e+00 4.59592903655805e-01
  4.78717798300000e-01 5.05152278260227e-01
  2.12137087700000e-01 6.51912852532265e-01
  6.90581086000000e-02 6.42459440340793e-02
4 0 8
  3.37005012218500e+02 1.07516926984929e-03
  5.33105310515000e+01 7.34146240566090e-03
  1.22082534814000e+01 4.02336267680429e-02
  3.41882690980000e+00 1.58881988320257e-01
  1.10879012580000e+00 4.59592903655805e-01
  4.78717798300000e-01 5.05152278260227e-01
  2.12137087700000e-01 6.51912852532265e-01
  6.90581086000000e-02 6.42459440340795e-02
