# z nsh cx kb kd_sg kd_pi | per shell: k L2 MU U L5
1 1 4.92805005213764e-02 1.79145019873830e-01 2.90912803440000e+00 0.00000000000000e+00
  1.09404075350000e+00 2.16199779800000e-01 -2.47736663600000e-01 1.00620512640000e+00 3.65481801660000e+00
2 1 9.61209593326382e-02 3.27652865419310e-01 2.19271878490000e+00 0.00000000000000e+00
  1.06021780980000e+00 6.26155874000000e-01 -1.03232270720000e+00 6.53668661800000e-01 4.67712556810000e+00
6 2 4.39916579770594e-02 3.30218335427740e-01 2.20346957930000e+00 2.41355834140000e+00
  1.19328071690000e+00 2.87814316400000e-01 -2.02473179600000e-01 9.89934250000000e-01 3.15416701180000e+00
  1.29650017400000e+00 3.36490691100000e-01 -3.62020155200000e-01 8.23560941100000e-01 2.35219126590000e+00
7 2 5.25912408759124e-02 3.55802391225460e-01 2.11427383010000e+00 2.44786318220000e+00
  1.08966434520000e+00 4.21995516500000e-01 -4.26458465100000e-01 9.55095228300000e-01 5.68919417780000e+00
  1.26309736330000e+00 4.48430811800000e-01 -3.84914429200000e-01 7.94253039300000e-01 1.87834473060000e+00
8 2 6.11908237747654e-02 1.97766385840350e-01 2.40608702360000e+00 2.65340430520000e+00
  1.02659592320000e+00 5.18965227800000e-01 -6.05335769500000e-01 1.49364066190000e+00 8.63750101520000e+00
  1.32657244660000e+00 4.71255889000000e-01 -3.61822489900000e-01 8.47347709900000e-01 1.83979082120000e+00
9 2 6.97904066736183e-02 6.31517571669700e-02 2.10899536300000e+00 2.39973382370000e+00
  7.24576978300000e-01 3.81475430700000e-01 -3.69142477500000e-01 1.55886987690000e+00 5.86656287950000e+00
  1.12693359920000e+00 5.06972727100000e-01 -4.62067528300000e-01 7.56114969800000e-01 2.20711628600000e+00
