6
1 0 6
  2.63551276061759e+00 -6.27648241918952e-01
  2.28866342964749e+00 5.34139964769460e-01
  5.93243132161716e-01 3.84767366488463e-01
  2.29327632355355e-01 3.94078824618435e-01
  1.79625958204701e-01 -6.48930050842781e-02
  9.33010409020067e-02 1.28557107249551e-01
1 1 6
  3.18904499316214e+01 8.04763926244050e-03
  8.41190169235724e+00 6.53021876821691e-02
  2.88647440874601e+00 2.19842618704271e-01
  1.00724709969923e+00 5.57689233927710e-01
  3.67460200611002e-01 5.35665083213512e-01
  1.27871552750767e-01 4.59575847004062e-01
2 0 8
  3.68697217500804e+02 9.40199765663853e-04
  5.83238935610682e+01 7.04852053984756e-03
  1.33563268377099e+01 3.60968106273662e-02
  3.74033596848367e+00 1.48177264519543e-01
  1.21306158470359e+00 4.09249853189045e-01
  5.23736780765993e-01 5.05078927710258e-01
  2.32086619272604e-01 6.51872391319298e-01
  7.55523851680288e-02 2.86240532623219e-01
3 0 8
  3.68697217500804e+02 9.40199765663853e-04
  5.83238935610682e+01 7.04852053984756e-03
  1.33563268377099e+01 3.60968106273662e-02
  3.74033596848367e+00 1.48177264519543e-01
  1.21306158470359e+00 4.09249853189045e-01
  5.23736780765993e-01 5.05078927710258e-01
  2.32086619272604e-01 6.51872391319298e-01
  7.55523851680288e-02 2.86240532623219e-01
4 0 8
  3.68697217500804e+02 9.40199765663853e-04
  5.83238935610682e+01 7.04852053984756e-03
  1.33563268377099e+01 3.60968106273662e-02
  3.74033596848367e+00 1.48177264519543e-01
  1.21306158470359e+00 4.09249853189045e-01
  5.23736780765993e-01 5.05078927710258e-01
  2.32086619272604e-01 6.51872391319298e-01
  7.55523851680288e-02 2.86240532623219e-01
5 0 8
  3.68697217500804e+02 9.40199765663853e-04
  5.83238935610682e+01 7.04852053984756e-03
  1.33563268377099e+01 3.60968106273662e-02
  3.74033596848367e+00 1.48177264519543e-01
  1.21306158470359e+00 4.09249853189045e-01
  5.23736780765993e-01 5.05078927710258e-01
  2.32086619272604e-01 6.51872391319298e-01
  7.55523851680288e-02 2.86240532623219e-01
